"","0","1","102"
"0",23169,2374,309
"1",1970265,28480,0
"2",255020,228340,0
"3",5654,0,0
"4",4036,0,0
"5",1905,0,0
"6",1432,0,0
"7",1394,0,0
"8",775,0,0
"9",586,0,0
"10",635,0,0
"11",497,0,0
"12",628,0,0
"13",199,0,0
"14",270,0,0
"15",280,0,0
"16",143,0,0
"17",106,0,0
"18",75,0,0
"19",202,0,0
"20",140,0,0
"21",71,0,0
"22",101,0,0
"23",151,0,0
"24",29,0,0
"25",73,0,0
"26",24,0,0
"28",40,0,0
"29",10,0,0
"30",31,0,0
"31",36,0,0
"32",44,0,0
"33",41,0,0
"34",70,0,0
"35",103,0,0
"38",7,0,0
"39",31,0,0
"41",12,0,0
"42",4,0,0
"43",22,0,0
"48",4,0,0
"52",3,0,0
"53",101,0,0
"56",58,0,0
"57",71,0,0
"63",90,0,0
"66",15,0,0
"69",5,0,0
"87",2,0,0
"105",213,0,0
"109",110,0,0
"115",7,0,0
"122",4,0,0
"130",6,0,0
"132",18,0,0
"133",5,0,0
"138",8,0,0
"144",2,0,0
"148",2,0,0
